NOME;ANO;IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;PONTO_VIRADA;IDADE_ALUNO;PEDRA
ALUNO-285;2020;9.50002;0.0;7.5;1.0;8.125;7.0;10.0;5.112502;Não;11;Quartzo
ALUNO-286;2020;8.000020000000001;6.0;6.875;7.5;7.1875;7.75;5.0;6.956252;Não;12;Ágata
ALUNO-287;2020;7.416679999999999;8.5;7.5;7.5;8.4375;8.833335;10.0;8.302085;Sim;11;Ametista
ALUNO-288;2020;9.000020000000001;7.7;7.5;3.75;8.333333333333334;7.833333333333334;5.0;6.840002;Não;12;Ágata
ALUNO-292;2020;10.00002;9.9;6.875;7.666666666666667;8.958333333333332;9.44445;5.0;8.485558666666666;Sim;15;Topázio
ALUNO-293;2020;6.66667;1.3;4.375;0.0;7.1875;6.6666675;10.0;4.4162505;Não;14;Quartzo
ALUNO-295;2020;9.000020000000001;8.9;4.375;7.25;4.6875;7.75;10.0;7.586252;Não;9;Ametista
ALUNO-296;2020;9.000020000000001;8.9;7.5;5.0;7.5;7.666665;10.0;7.713335;Não;10;Ametista
ALUNO-297;2020;8.33334;8.7;4.375;6.0;8.125;8.38889;5.0;7.201112;Não;15;Ágata
ALUNO-298;2020;8.500020000000001;6.6;5.0;6.5;5.0;6.833335;5.0;6.3366690000000006;Não;11;Ágata
ALUNO-299;2020;5.83334;10.0;5.625;9.2;0.0;0.0;10.0;8.388334;;19;Ametista
ALUNO-300;2020;9.16668;0.0;7.5;8.4;0.0;0.0;10.0;6.776668000000001;;18;Ágata
ALUNO-301;2020;10.00002;9.2;7.5;9.5;7.916666666666668;7.833333333333333;10.0;8.848335333333335;Não;9;Topázio
ALUNO-305;2020;8.500020000000001;8.3;7.5;6.5;6.458333333333334;8.277776666666666;5.0;7.361390666666666;Não;13;Ametista
ALUNO-306;2020;6.66667;1.4;4.375;0.0;5.15625;4.95834;10.0;3.89146;Não;17;Quartzo
ALUNO-309;2020;8.500020000000001;6.5;7.5;10.0;7.5;7.75;10.0;8.200002000000001;Não;9;Ametista
ALUNO-312;2020;10.00002;9.1;7.5;8.5;5.833333333333333;8.277776666666666;10.0;8.508890666666668;Não;11;Topázio
ALUNO-313;2020;7.50002;10.0;7.5;6.5;7.5;6.749995;10.0;7.900001;Não;8;Ametista
ALUNO-315;2020;9.16668;10.0;9.375;8.666666666666666;8.958333333333332;9.8889;10.0;9.461114666666669;Sim;13;Topázio
ALUNO-316;2020;7.41668;7.7;7.5;0.0;8.125;7.916665;10.0;6.427501;Não;11;Ágata
ALUNO-318;2020;9.000020000000001;10.0;7.5;10.0;7.5;6.999995;5.0;8.300001000000002;Não;9;Ametista
ALUNO-319;2020;9.000020000000001;9.5;7.5;2.0;7.5;7.416665;10.0;7.1833350000000005;Não;11;Ágata
