INSTITUICAO_ENSINO_ALUNO;NOME;IDADE_ALUNO;ANOS_PM;FASE_TURMA;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO
Rede Decisão/União;ALUNO-1191;12;3;3B;Não;6.828125666666667;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;9.5;4.375;3.333333333333333;7.65625;6.333335;10.0;2020
Escola Pública;ALUNO-1193;11;0;2L;Não;6.912779333333333;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;6.8;7.5;3.75;7.083333333333333;7.222219999999999;10.0;2020
Escola Pública;ALUNO-1195;11;0;2D;Não;8.153752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;8.8;7.5;7.0;8.4375;7.75;10.0;2020
Rede Decisão/União;ALUNO-1197;16;4;6A;Não;7.820418166666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;8.8;6.25;5.333333333333333;8.4375;8.2500025;10.0;2020
Escola Pública;ALUNO-1198;11;0;1K;Não;6.790556666666666;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;5.8;5.0;7.5;7.083333333333333;7.611106666666666;5.0;2020
Escola Pública;ALUNO-1200;16;2;6B;Não;7.520000166666668;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;7.6;6.25;5.833333333333333;7.5;8.333332500000001;10.0;2020
Escola Pública;ALUNO-1205;9;1;1A;Sim;8.962503;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.00002;9.5;7.5;10.0;8.125;9.000005;10.0;2020
Escola Pública;ALUNO-1215;10;1;1D;Sim;8.700003;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;9.5;7.5;10.0;7.5;9.000005;5.0;2020
UNISA;ALUNO-1216;18;1;8A;;7.218335;C;Ágata;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.58335;0.0;7.5;9.4;0.0;0.0;10.0;2020
Rede Decisão/União;ALUNO-1217;13;4;3A;Sim;8.443336;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;8.8;4.375;8.0;9.375;9.37501;10.0;2020
