NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-1217;3.0;A;Rede Decisão;Veterano;Ametista;8.181;8.8;8.6;7.5;7.6;9.2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9.5;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1219;5.0;B;Rede Decisão;Veterano;Ametista;8.201;7.9;7.5;7.5;7.9;8.6;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;8.6;10.0;Nível 4 (9o ano);1.0;2021
ALUNO-1221;2.0;N;Escola Pública;Ingressante;Topázio;8.618;9.0;10.0;7.5;8.0;9.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9.4;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1223;2.0;R;Escola Pública;Veterano;Ágata;6.779;6.8;8.3;8.1;4.7;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1226;2.0;R;Escola Pública;Veterano;Ágata;6.621;5.3;8.3;8.1;4.7;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1228;3.0;L;Escola Pública;Veterano;Quartzo;3.603;0.0;0.6;7.5;3.1;6.3;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;2.5;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1229;1.0;J;Escola Pública;Veterano;Ágata;5.588;9.5;5.8;4.4;0.7;8.1;Não avaliado;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.9;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1230;4.0;G;Rede Decisão;Veterano;Ametista;7.714;7.1;8.6;6.9;5.8;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;8.1;10.0;Nível 3 (7o e 8o ano);1.0;2021
ALUNO-1231;2.0;E;Escola Pública;Veterano;Quartzo;4.133;0.0;1.7;6.3;3.1;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.5;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1232;2.0;H;Escola Pública;Veterano;Quartzo;2.717;0.0;0.8;7.5;0.9;6.3;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;2.5;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1233;5.0;F;Rede Decisão;Veterano;Ametista;7.416;9.6;6.7;5.0;7.8;7.7;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;6.5;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-1234;0.0;L;Escola Pública;Ingressante;Ametista;7.229;8.5;6.7;7.5;5.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.2;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1237;3.0;F;Escola Pública;Ingressante;Quartzo;4.372;6.7;2.2;7.5;2.3;7.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.2;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1239;1.0;R;Escola Pública;Ingressante;Ágata;5.574;8.5;5.8;7.5;2.0;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.9;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1240;2.0;K;Escola Pública;Ingressante;Ametista;6.917;7.4;7.9;7.5;4.3;7.9;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.5;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1242;1.0;G;Escola Pública;Ingressante;Quartzo;5.507;7.4;4.6;7.5;2.4;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.6;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1244;1.0;B;Escola Pública;Veterano;Ametista;7.389;10.0;8.8;7.5;5.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1248;3.0;G;Rede Decisão;Veterano;Ágata;6.047;9.2;3.9;5.6;6.5;7.7;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;6.1;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1250;3.0;R;Escola Pública;Veterano;Ágata;6.343;6.7;5.8;6.9;5.8;7.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;7.1;5.0;Nível 4 (9o ano);-1.0;2021
